OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Parent, EVRSkeletalReferencePose.OpenHand, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
6,0.0332209,0.04290245,0.1402345,0.6435001,0.6132038,0.3547309,-0.2899216
7,0.03844888,-0.0009845532,0.08041845,-0.9322704,-0.04620931,-0.01437399,0.3585105
8,-0.004635047,-0.004267885,0.07782394,-0.6053051,0.7107967,0.2714961,0.233802
9,-0.0001707543,0.01647315,0.09651526,0.02274721,0.9329273,0.3592873,-0.006456077
10,0.02262509,0.01561036,0.09586717,-0.02274721,-0.9329273,-0.3592873,0.006456077
11,0.03775613,0.03017576,0.1474205,0.6109779,0.6866386,0.210696,-0.3329274
12,0.03944395,-0.02022493,0.0974922,-0.9324169,-0.04374276,-0.02247764,0.3580226
13,-0.003456011,-0.02304751,0.09433506,-0.6289951,0.6895561,0.2640535,0.2432147
14,-0.000447955,0.001536416,0.1165433,0.1051424,0.9288332,0.3530794,-0.03935701
15,0.02479175,-0.002801191,0.1127279,-0.1423278,-0.9238663,-0.3512158,0.05349284
16,0.03867041,0.02042013,0.1570892,0.6409885,0.6826961,0.1868775,-0.296878
17,0.03715568,-0.03055935,0.1153508,-0.943505,-0.08997997,0.004817247,0.318871
18,-0.002520598,-0.03753115,0.1134032,-0.6935406,0.6460816,0.239827,0.2099115
19,-0.003948651,-0.0148688,0.1306075,0.0686952,0.944016,0.3179333,-0.05507123
20,0.01813384,-0.01699244,0.1272956,-0.0686952,-0.944016,-0.3179333,0.05507123
21,0.03810104,0.01220977,0.1669463,0.7129621,0.6502998,0.1956596,-0.1746784
22,0.03036937,-0.04169983,0.1353889,-0.9478707,-0.1438311,-0.04394957,0.2809311
23,0.001846563,-0.04910785,0.1304857,-0.7702687,0.5714812,0.1769738,0.2208517
24,-0.003262595,-0.03468513,0.1399258,-0.1007412,0.9573313,0.2701487,0.01969008
25,0.01437566,-0.0314014,0.1415857,-0.1007412,0.9573313,0.2701487,0.01969008
26,-0.01971631,0.002801723,0.09393694,-0.5408307,-0.1504462,0.7365619,0.3772859
27,-0.0001707166,0.01647311,0.09651526,-0.02274707,-0.9329274,-0.3592871,0.006456242
28,-0.0004479717,0.001536413,0.1165434,-0.1051425,-0.9288331,-0.3530795,0.03935703
29,-0.003948652,-0.01486879,0.1306075,-0.06869533,-0.9440162,-0.3179332,0.05507131
30,-0.003262603,-0.03468513,0.1399258,-0.1007414,0.9573313,0.2701486,0.01969014
